image_name,AudioTime,TeacherTime ,StudentTime ,StudentRate,STSilent,TeacherMean,StudentMean,TeacherQuarter,TeacherMedian,TeacherThreeQuarters,TeacherStd,StudentQuarter,StudentMedian,StudentThreeQuarters,StudentStd,Interaction,value
2036272793-1592121618162,8083,2940,1050,0.263157895,1444,2.258064516,1.794871795,1,2,3,1.787584288,1,1,2,1.443801474,208,2
2036277766-1591272332,3303,1257,428,0.254005935,522,2.367231638,1.732793522,1,2,3,1.975027982,1,1,2,1.403196659,71,2
2036281263-1621759099589,1183,353,210,0.373001776,169,2.7578125,2,1,2,4,2.670179721,1,1,2,2.453412067,20,2
2036281295-1617276572,2715,748,642,0.461870504,476,1.87,2.183673469,1,1,2,1.281485667,1,1,2,2.599607238,96,2
2036281884-1618833008,2963,1182,229,0.162296244,510,2.345238095,1.516556291,1,2,3,1.997975402,1,1,2,1.290241862,57,2
2036283101-1615897913491,3255,418,547,0.566839378,355,2.662420382,2.13671875,1,2,3,2.268949096,1,1,2,2.082809983,13,0
2036283256-1592138865452,4025,1162,319,0.215395003,566,2.082437276,1.430493274,1,1,3,1.64005511,1,1,1,1.163778882,88,2
2036283448-1591783318938,1194,312,165,0.34591195,181,1.937888199,1.853932584,1,1,2,1.486141989,1,1,2,1.695921322,23,2
2036284288-1620826948,2234,1005,132,0.116094987,449,2.342657343,2.4,1,2,3,1.882425714,1,1,2,3.364300599,16,2
2036284361-1618228400,6553,3250,403,0.110320285,1184,2.726510067,1.334437086,1,2,3,2.517252357,1,1,1,0.699363389,111,2
2036287325-1604725570661,2314,798,265,0.24929445,377,2.162601626,2.054263566,1,1,3,1.912660836,1,1,2,2.937659776,35,2
